t,x1,x2
0.000000000000000000e+00,0.000000000000000000e+00,1.699999999999999956e+00
1.010101010101010187e-02,6.360250971318909263e-02,1.693767203640597518e+00
2.020202020202020374e-02,1.280125619594103259e-01,1.675195477844775738e+00
3.030303030303030387e-02,1.939960045948959655e-01,1.644660631571084330e+00
4.040404040404040747e-02,2.622368534417762187e-01,1.602775226297830535e+00
5.050505050505051108e-02,3.333002130813841335e-01,1.550368413729901196e+00
6.060606060606060774e-02,4.075996456949587676e-01,1.488458725124840676e+00
7.070707070707071829e-02,4.853702164793670115e-01,1.418220784601246898e+00
8.080808080808081495e-02,5.666482381961883696e-01,1.340947135300576853e+00
9.090909090909091161e-02,6.512584942906229912e-01,1.258006540869726297e+00
1.010101010101010222e-01,7.388094485332598049e-01,1.170800249154315242e+00
1.111111111111111188e-01,8.286966591096958101e-01,1.080717775756441457e+00
1.212121212121212155e-01,9.201143169982254344e-01,9.890937796698071605e-01
1.313131313131313260e-01,1.012074533114132535e+00,8.971675610446387950e-01
1.414141414141414366e-01,1.103433716742632686e+00,8.060466137892849936e-01
1.515151515151515194e-01,1.192925129429511788e+00,7.166755167135401283e-01
1.616161616161616299e-01,1.279196473094777353e+00,6.298112516557262675e-01
1.717171717171717404e-01,1.360851186835794646e+00,5.460058025780510915e-01
1.818181818181818232e-01,1.436491990362890547e+00,4.655966244453397795e-01
1.919191919191919338e-01,1.504765128206584368e+00,3.887052844129930129e-01
2.020202020202020443e-01,1.564403740790818897e+00,3.152442807956311599e-01
2.121212121212121271e-01,1.614268817205396278e+00,2.449317482114516942e-01
2.222222222222222376e-01,1.653386269005894249e+00,1.773134709420686461e-01
2.323232323232323482e-01,1.680978801578479453e+00,1.117913612684928587e-01
2.424242424242424310e-01,1.696491444583250185e+00,4.765732493338221271e-02
2.525252525252525415e-01,1.699609829059685939e+00,-1.586875957892728770e-02
2.626262626262626521e-01,1.690270557783331906e+00,-7.959837049245271912e-02
2.727272727272727626e-01,1.668663298055462985e+00,-1.443325010914298101e-01
2.828282828282828731e-01,1.635224522086345944e+00,-2.108202096244564117e-01
2.929292929292929282e-01,1.590623118813281334e+00,-2.797191092089158504e-01
3.030303030303030387e-01,1.535738391594598795e+00,-3.515592758136113494e-01
3.131313131313131493e-01,1.471631228250043666e+00,-4.267119284042085181e-01
3.232323232323232598e-01,1.399509473557358996e+00,-5.053640622028319207e-01
3.333333333333333703e-01,1.320688740771268410e+00,-5.875000000000003553e-01
3.434343434343434809e-01,1.236550060554954200e+00,-6.728905753748449792e-01
3.535353535353535914e-01,1.148495877068961279e+00,-7.610903846071293000e-01
3.636363636363636465e-01,1.057905957835514332e+00,-8.514432510211028537e-01
3.737373737373737570e-01,9.660947843433959070e-01,-9.430957470837528778e-01
3.838383838383838675e-01,8.742719341785362142e-01,-1.035018326580566139e+00
3.939393939393939781e-01,7.835068547993819799e-01,-1.126033342207420684e+00
4.040404040404040886e-01,6.946992679341050803e-01,-1.214848972966345642e+00
4.141414141414141992e-01,6.085562377924181865e-01,-1.300097869914185189e+00
4.242424242424242542e-01,5.255766933051377876e-01,-1.380379155896582777e+00
4.343434343434343647e-01,4.460439232200187898e-01,-1.454302291164454974e+00
4.444444444444444753e-01,3.700262729093677372e-01,-1.520531246698510364e+00
4.545454545454545858e-01,2.973859736711850776e-01,-1.577827413202533391e+00
4.646464646464646964e-01,2.277957399108682668e-01,-1.625089716580233823e+00
4.747474747474748069e-01,1.607624875570612955e-01,-1.661390508746113159e+00
4.848484848484848619e-01,9.565726859162858309e-02,-1.686005952306490974e+00
4.949494949494949725e-01,3.175029100632120738e-02,-1.698439813584646796e+00
5.050505050505050830e-01,-3.175029100632140860e-02,-1.698439813584646796e+00
5.151515151515152491e-01,-9.565726859162877738e-02,-1.686005952306490974e+00
5.252525252525253041e-01,-1.607624875570619616e-01,-1.661390508746112715e+00
5.353535353535353591e-01,-2.277957399108684611e-01,-1.625089716580233379e+00
5.454545454545455252e-01,-2.973859736711852442e-01,-1.577827413202533391e+00
5.555555555555555802e-01,-3.700262729093679592e-01,-1.520531246698510364e+00
5.656565656565657463e-01,-4.460439232200196225e-01,-1.454302291164454086e+00
5.757575757575758013e-01,-5.255766933051380096e-01,-1.380379155896582777e+00
5.858585858585858563e-01,-6.085562377924178534e-01,-1.300097869914185411e+00
5.959595959595960224e-01,-6.946992679341059684e-01,-1.214848972966344753e+00
6.060606060606060774e-01,-7.835068547993823129e-01,-1.126033342207420684e+00
6.161616161616162435e-01,-8.742719341785363252e-01,-1.035018326580565917e+00
6.262626262626262985e-01,-9.660947843433963511e-01,-9.430957470837526557e-01
6.363636363636364646e-01,-1.057905957835515220e+00,-8.514432510211020766e-01
6.464646464646465196e-01,-1.148495877068961502e+00,-7.610903846071288559e-01
6.565656565656565746e-01,-1.236550060554954200e+00,-6.728905753748448682e-01
6.666666666666667407e-01,-1.320688740771269298e+00,-5.874999999999993561e-01
6.767676767676767957e-01,-1.399509473557359218e+00,-5.053640622028315876e-01
